,constant_potential,constant_gz,linear_potential,linear_gz,exp_potential,exp_gz
0.0,-5.1607966423e-05,-0.000363836693764,-0.000214440512657,-0.000867288351059,-0.00384397704601,-0.01608398242
1000.0,-4.93246555328e-05,-0.000307900762558,-0.000203282260895,-0.000738850688934,-0.00330994007587,-0.0139286257505
10000.0,-4.01032686234e-05,-0.000227655005455,-0.000168394947052,-0.000559364485741,-0.00253175258636,-0.0101662452936
100000.0,-2.88193225861e-05,-0.00013676378727,-0.000121574759483,-0.000349817728996,-0.00129170608521,-0.00572766411304
1000000.0,-1.93865776062e-05,-4.97483730316e-05,-8.41854333878e-05,-0.00015287938118,-0.000350877785683,-0.00171218750477
